year,month,retail_sales,retail_transfers,warehouse_sales
2020,1,0.0,0.0,2.0
2020,1,0.0,1.0,4.0
2020,1,0.0,0.0,1.0
2020,1,0.82,0.0,0.0
2020,1,2.76,0.0,6.0
2020,1,0.08,1.0,1.0
2020,1,6.41,4.0,0.0
2020,1,0.33,1.0,2.0
2020,1,1.7,1.0,0.0
2020,1,1.02,0.0,0.0
2020,1,0.68,0.0,0.0
2020,1,0.34,0.0,0.0
2020,1,0.34,1.0,1.0
2020,1,0.16,0.0,2.0
2020,1,0.0,0.0,3.0
2020,1,12.72,11.84,0.0
2020,1,11.17,11.0,9.0
2020,1,0.1,0.0,0.0
2020,1,1.25,0.0,1.0
2020,1,0.32,0.0,0.0
2020,1,0.0,0.0,6.0
2020,1,1.21,1.0,0.0
2020,1,1.91,4.0,147.0
2020,1,0.51,0.0,0.0
2020,1,0.85,0.0,0.0
2020,1,0.0,0.0,9.0
2020,1,0.08,0.0,0.0
2020,1,0.51,3.0,0.0
2020,1,1.16,0.0,0.0
2020,1,0.34,1.0,0.0
2020,1,33.57,36.0,0.0
2020,1,2.0,2.0,0.0
2020,1,2.75,2.0,7.0
2020,1,0.0,0.0,5.0
2020,1,0.48,0.0,2.0
2020,1,11.99,15.0,0.0
2020,1,0.4,0.0,0.0
2020,1,0.17,0.0,0.0
2020,1,2.55,5.0,3.0
2020,1,9.41,8.0,13.0
2020,1,33.79,45.0,120.75
2020,1,1.19,0.0,0.0
2020,1,16.75,19.0,191.0
2020,1,1.5,0.0,35.0
2020,1,63.5,63.0,210.0
2020,1,15.41,22.0,57.0
2020,1,37.0,46.0,113.0
2020,1,0.0,0.0,25.0
2020,1,7.0,5.0,54.0
2020,1,0.74,0.0,3.0
2020,1,0.41,0.0,3.0
2020,1,8.49,17.67,25.0
2020,1,20.95,34.0,4.0
2020,1,20.7,38.0,2.0
2020,1,36.31,29.66,0.0
2020,1,12.07,11.0,2.0
2020,1,3.9,0.0,0.0
2020,1,2.37,4.0,0.0
2020,1,1.53,1.0,0.0
2020,1,10.6,0.0,0.0
2020,1,0.0,0.0,10.0
2020,1,46.66,47.0,0.0
2020,1,3.07,4.0,0.0
2020,1,6.79,9.0,11.0
2020,1,2.1,6.0,0.0
2020,1,0.24,1.0,1.0
2020,1,1.5,0.0,7.0
2020,1,7.02,8.75,1.0
2020,1,4.53,5.0,13.0
2020,1,2.5,4.0,20.0
2020,1,0.25,0.0,7.0
2020,1,0.16,0.0,0.0
2020,1,26.25,21.0,1.0
2020,1,0.17,1.0,0.0
2020,1,0.0,1.0,0.0
2020,1,0.0,0.0,4.0
2020,1,3.0,5.0,0.0
2020,1,2.0,2.0,13.0
2020,1,14.69,18.0,0.0
2020,1,19.54,22.0,50.75
2020,1,0.75,0.0,0.0
2020,1,0.32,0.0,2.0
2020,1,3.1,0.0,0.0
2020,1,2.81,4.0,9.0
2020,1,3.23,0.0,0.0
2020,1,4.32,6.0,23.0
2020,1,0.33,3.0,0.92
2020,1,1.16,0.0,1.0
2020,1,0.66,0.0,6.0
2020,1,2.94,3.0,5.0
2020,1,4.44,4.0,6.0
2020,1,2.77,0.0,0.0
2020,1,1.82,3.0,4.0
2020,1,0.34,0.0,2.0
2020,1,0.64,0.0,0.0
2020,1,12.98,9.0,13.83
2020,1,2.8,0.0,0.0
2020,1,22.16,21.0,5.0
2020,1,15.0,12.0,180.0
2020,1,0.0,0.0,45.0
2020,1,0.0,0.0,13.0
2020,1,0.0,0.0,27.0
2020,1,0.0,0.0,8.0
2020,1,11.07,11.0,4.0
2020,1,0.2,0.0,0.0
2020,1,0.24,1.0,0.0
2020,1,10.63,13.0,0.0
2020,1,3.56,3.0,3.0
2020,1,0.0,0.0,30.0
2020,1,41.65,30.0,4.0
2020,1,68.3,66.67,0.0
2020,1,4.89,3.92,1.0
2020,1,0.0,0.0,17.96
2020,1,0.0,0.0,19.0
2020,1,0.57,1.0,0.0
2020,1,6.43,7.0,3.0
2020,1,2.4,3.0,0.0
2020,1,2.64,2.0,0.0
2020,1,109.97,104.0,13.0
2020,1,82.48,70.0,43.0
2020,1,11.06,0.0,0.0
2020,1,2.56,0.0,0.0
2020,1,0.42,0.0,3.0
2020,1,16.1,25.0,0.0
2020,1,45.82,34.0,41.0
2020,1,27.29,22.0,5.0
2020,1,0.0,0.0,7.0
2020,1,26.86,34.0,0.0
2020,1,24.66,33.0,18.0
2020,1,3.08,1.0,18.0
2020,1,0.56,0.0,16.0
2020,1,0.67,0.0,0.0
2020,1,1.97,12.0,2.0
2020,1,1.69,4.0,16.0
2020,1,0.72,0.0,0.0
2020,1,0.17,3.0,0.0
2020,1,0.68,1.0,0.0
2020,1,4.4,6.0,0.0
2020,1,2.11,0.0,0.0
2020,1,47.72,64.0,0.0
2020,1,0.25,0.0,0.0
2020,1,1.52,1.0,0.0
2020,1,5.06,0.0,0.0
2020,1,0.49,0.0,0.0
2020,1,0.68,3.0,0.0
2020,1,0.5,0.0,0.0
2020,1,0.84,1.0,0.0
2020,1,3.41,0.0,0.0
2020,1,6.59,6.75,0.0
2020,1,2.37,3.0,2.0
2020,1,1.35,4.0,0.0
2020,1,0.49,2.0,8.0
2020,1,5.71,6.0,0.0
2020,1,0.8,3.0,0.0
2020,1,1.67,1.0,2.0
2020,1,25.15,26.0,0.0
2020,1,4.5,4.0,30.75
2020,1,1.36,4.0,15.0
2020,1,5.07,5.0,0.0
2020,1,0.0,0.0,28.0
2020,1,30.43,29.0,0.0
2020,1,12.0,5.0,2.0
2020,1,1.23,0.0,1.0
2020,1,2.27,1.0,0.0
2020,1,134.61,143.0,2.0
2020,1,41.65,52.0,2.0
2020,1,27.08,23.16,0.0
2020,1,17.84,12.0,0.0
2020,1,74.11,104.59,6.0
2020,1,126.97,120.83,3.0
2020,1,131.13,147.0,5.0
2020,1,14.0,12.08,0.0
2020,1,7.4,10.0,0.0
2020,1,0.74,2.0,4.0
2020,1,15.3,22.0,0.0
2020,1,44.28,35.0,0.0
2020,1,2.74,0.0,0.0
2020,1,6.42,0.0,0.0
2020,1,7.27,10.0,11.0
2020,1,30.63,32.0,2.0
2020,1,19.34,25.0,0.0
2020,1,46.39,37.0,0.0
2020,1,2.78,2.0,5.0
2020,1,43.85,39.0,3.0
2020,1,0.0,0.0,0.0
2020,1,0.41,1.0,0.0
2020,1,42.84,44.0,1.0
2020,1,22.81,25.0,19.0
2020,1,9.0,32.0,0.0
2020,1,0.08,0.0,3.0
2020,1,21.04,21.0,2.0
2020,1,0.33,0.0,0.0
2020,1,4.0,0.0,0.0
2020,1,23.4,18.0,2.0
2020,1,17.85,19.0,0.0
2020,1,40.75,41.0,268.0
2020,1,0.0,0.0,40.0
2020,1,2.22,0.0,0.0
2020,1,0.56,0.0,0.0
2020,1,5.05,0.0,0.0
2020,1,1.87,1.92,20.0
2020,1,0.0,0.0,11.0
2020,1,3.05,2.0,0.0
2020,1,9.01,10.0,32.0
2020,1,0.51,0.0,9.0
2020,1,18.0,19.0,198.0
2020,1,38.0,0.0,0.0
2020,1,20.95,17.0,1.0
2020,1,0.51,1.0,0.0
2020,1,3.0,5.0,9.0
2020,1,11.36,7.0,0.0
2020,1,2.9,3.0,6.0
2020,1,0.17,0.0,9.83
2020,1,1.21,0.0,0.0
2020,1,3.89,0.0,0.0
2020,1,1.87,4.0,0.0
2020,1,5.03,3.0,0.0
2020,1,7.29,6.0,27.0
2020,1,9.5,11.0,1.0
2020,1,0.17,0.92,6.0
2020,1,9.94,16.0,15.0
2020,1,24.44,20.0,0.0
2020,1,10.92,8.0,4.0
2020,1,0.99,1.0,0.0
2020,1,0.72,1.0,1.92
2020,1,0.24,0.0,1.0
2020,1,12.67,14.0,0.0
2020,1,0.57,0.0,0.0
2020,1,0.48,0.0,0.0
2020,1,0.0,0.0,20.0
2020,1,0.0,0.0,37.0
2020,1,30.69,21.0,0.0
2020,1,29.12,29.0,0.0
2020,1,1.79,0.0,3.0
2020,1,0.08,1.0,0.0
2020,1,2.25,3.0,0.0
2020,1,0.04,1.0,0.0
2020,1,12.15,11.0,0.0
2020,1,0.96,1.0,1.0
2020,1,0.75,1.0,1.0
2020,1,0.0,0.0,24.0
2020,1,19.93,15.0,12.0
2020,1,0.25,0.0,3.0
2020,1,10.52,16.0,0.0
2020,1,156.47,181.0,2.0
2020,1,35.91,28.0,9.0
2020,1,1.49,0.0,0.0
2020,1,7.59,1.0,0.0
2020,1,10.28,11.0,11.0
2020,1,1.0,1.0,0.0
2020,1,20.87,17.0,0.0
2020,1,21.79,22.0,0.0
2020,1,73.54,101.0,164.0
2020,1,25.29,22.0,0.0
2020,1,2.81,3.0,0.0
2020,1,6.72,9.0,8.0
2020,1,1.75,3.0,24.0
2020,1,0.21,0.0,0.0
2020,1,34.69,26.0,28.0
2020,1,0.32,0.0,6.0
2020,1,46.2,66.0,226.0
2020,1,8.5,11.0,98.0
2020,1,42.88,42.0,92.0
2020,1,0.99,0.0,1.0
2020,1,1.41,0.0,9.0
2020,1,0.57,0.0,4.0
2020,1,9.86,8.0,20.0
2020,1,1.35,3.0,0.0
2020,1,6.5,7.0,2.0
2020,1,9.18,13.0,4.0
2020,1,11.69,17.59,3.0
2020,1,2.48,3.67,17.0
2020,1,0.82,2.0,1.0
2020,1,1.4,4.0,0.0
2020,1,0.9,1.0,0.0
2020,1,9.38,9.0,1.0
2020,1,0.49,0.0,2.0
2020,1,1.47,1.0,1.0
2020,1,0.24,0.0,0.0
2020,1,2.17,6.0,2.0
2020,1,0.32,1.0,3.0
2020,1,0.65,2.0,0.0
2020,1,0.32,1.0,1.0
2020,1,0.32,2.0,0.0
2020,1,0.32,2.0,1.0
2020,1,0.17,0.0,2.0
2020,1,0.16,0.0,4.0
2020,1,10.79,12.67,22.0
2020,1,1.33,2.0,27.0
2020,1,5.62,7.0,4.0
2020,1,4.57,4.0,14.0
2020,1,1.79,0.0,0.0
2020,1,6.5,7.0,9.0
2020,1,0.25,0.0,2.0
2020,1,0.98,0.0,3.0
2020,1,28.06,22.0,1.0
2020,1,4.83,6.0,11.0
2020,1,4.47,1.92,1.0
2020,1,13.18,8.0,3.0
2020,1,2.2,4.0,0.0
2020,1,1.02,1.0,0.0
2020,1,0.41,0.0,0.0
2020,1,10.48,6.0,1.0
2020,1,0.0,0.92,0.0
2020,1,1.31,0.0,5.83
2020,1,10.03,10.0,2.0
2020,1,0.57,0.0,2.0
2020,1,2.67,0.0,0.0
2020,1,1.33,2.0,5.0
2020,1,1.66,1.0,2.0
2020,1,0.65,0.83,3.0
2020,1,1.2,1.0,1.0
2020,1,0.57,4.0,0.0
2020,1,0.49,1.0,1.0
2020,1,18.64,19.92,18.67
2020,1,8.43,7.0,18.0
2020,1,7.03,6.0,11.0
2020,1,7.19,9.0,4.0
2020,1,0.89,0.0,1.0
2020,1,6.06,7.0,0.0
2020,1,1.67,3.0,3.0
2020,1,1.41,1.0,7.0
2020,1,11.52,15.0,6.0
2020,1,0.25,1.0,0.0
2020,1,0.41,0.0,1.0
2020,1,13.76,18.08,163.0
2020,1,0.49,1.0,0.0
2020,1,0.25,0.0,1.0
2020,1,6.44,9.0,0.0
2020,1,7.21,9.0,0.0
2020,1,6.9,7.0,1.0
2020,1,12.54,8.67,0.0
2020,1,164.47,134.0,15.0
2020,1,117.06,106.0,20.0
2020,1,10.35,9.0,19.0
2020,1,7.32,11.0,0.0
2020,1,0.56,1.0,0.0
2020,1,41.99,45.0,1.0
2020,1,3.89,13.0,4.0
2020,1,0.4,1.0,0.0
2020,1,17.25,23.0,216.0
2020,1,0.58,0.0,0.0
2020,1,1.94,8.0,1.0
2020,1,4.4,10.0,4.0
2020,1,19.5,16.0,62.0
2020,1,1.49,3.0,0.0
2020,1,1.65,0.0,1.0
2020,1,10.91,14.0,6.0
2020,1,0.16,0.0,3.0
2020,1,2.69,0.0,2.0
2020,1,51.22,51.0,23.0
2020,1,0.08,0.0,1.0
2020,1,16.18,18.0,1.0
2020,1,0.24,0.0,2.0
2020,1,29.0,33.0,94.0
2020,1,1.22,0.0,1.0
2020,1,1.4,0.0,0.0
2020,1,0.65,1.0,6.0
2020,1,61.11,59.0,15.0
2020,1,8.8,8.0,1.0
2020,1,1.39,1.0,0.0
2020,1,5.19,6.92,12.0
2020,1,2.72,4.5,1.0
2020,1,12.67,9.0,1.0
2020,1,17.73,21.67,0.0
2020,1,1.8,0.0,2.0
2020,1,0.34,0.0,1.0
2020,1,0.18,0.0,0.0
2020,1,8.97,12.0,1.0
2020,1,1.84,2.0,3.0
2020,1,13.01,14.0,4.0
2020,1,1.07,0.0,8.0
2020,1,3.05,4.0,0.0
2020,1,3.6,5.0,6.0
2020,1,0.29,0.0,0.0
2020,1,0.4,1.33,0.0
2020,1,0.64,3.0,0.0
2020,1,0.34,2.0,0.0
2020,1,4.56,6.0,11.0
2020,1,1.05,1.0,2.0
2020,1,4.6,3.0,3.0
2020,1,2.86,2.0,0.0
2020,1,2.82,2.0,2.0
2020,1,6.79,10.0,12.0
2020,1,1.88,0.0,2.92
2020,1,5.77,5.0,0.0
2020,1,1.16,1.0,11.0
2020,1,2.0,1.0,9.0
2020,1,1.23,1.0,2.0
2020,1,2.62,6.0,8.0
2020,1,0.51,0.0,3.0
2020,1,0.34,2.0,3.0
2020,1,1.06,0.0,4.0
2020,1,1.36,0.0,0.0
2020,1,2.25,4.67,8.0
2020,1,1.77,3.0,0.0
2020,1,0.16,1.0,1.0
2020,1,6.08,0.0,0.0
2020,1,5.51,0.0,0.0
2020,1,3.69,0.0,0.0
2020,1,1.2,3.0,0.0
2020,1,3.45,0.0,0.0
2020,1,2.83,1.0,9.0
2020,1,4.76,3.0,0.0
2020,1,1.44,1.0,1.0
2020,1,0.64,0.0,4.0
2020,1,0.96,1.0,0.0
2020,1,5.14,5.0,11.0
2020,1,2.71,0.0,0.0
2020,1,3.31,5.0,1.0
2020,1,0.0,0.0,14.5
2020,1,1.55,3.0,0.0
2020,1,2.47,2.0,0.0
2020,1,1.19,3.0,0.0
2020,1,1.76,0.0,1.0
2020,1,21.14,19.0,54.0
2020,1,0.33,1.0,1.0
2020,1,1.48,2.0,3.0
2020,1,0.51,2.0,0.0
2020,1,24.53,27.0,54.0
2020,1,1.12,3.0,10.0
2020,1,6.63,6.0,0.0
2020,1,7.8,0.0,0.0
2020,1,13.24,20.0,25.0
2020,1,17.98,23.0,0.0
2020,1,7.13,4.0,0.0
2020,1,15.73,13.83,0.0
2020,1,2.72,0.0,0.0
2020,1,3.77,6.0,0.0
2020,1,0.83,0.0,0.0
2020,1,4.5,0.0,0.0
2020,1,1.53,0.0,0.0
2020,1,28.71,36.5,1.0
2020,1,0.49,2.0,0.0
2020,1,0.08,0.0,8.0
2020,1,3.16,5.0,4.0
2020,1,29.29,28.0,3.0
2020,1,0.24,2.0,0.0
2020,1,1.67,1.0,1.0
2020,1,0.16,0.0,1.0
2020,1,0.66,0.0,0.0
2020,1,1.31,1.0,1.0
2020,1,0.99,0.0,0.0
2020,1,1.7,0.0,0.0
2020,1,55.32,35.0,12.0
2020,1,5.05,5.0,1.0
2020,1,20.16,23.0,2.0
2020,1,10.96,14.0,31.0
2020,1,65.55,49.0,0.0
2020,1,23.76,26.0,15.0
2020,1,0.97,0.0,2.0
2020,1,10.98,8.0,27.0
2020,1,6.93,9.0,1.0
2020,1,18.22,42.0,5.0
2020,1,1.21,2.0,0.0
2020,1,8.31,8.5,0.0
2020,1,0.91,0.0,8.0
2020,1,32.64,30.0,0.0
2020,1,15.4,17.0,0.0
2020,1,1.43,0.0,0.0
2020,1,13.3,9.0,99.0
2020,1,6.96,8.0,0.0
2020,1,21.94,26.0,15.0
2020,1,11.1,14.0,1.0
2020,1,8.43,8.0,5.0
2020,1,0.0,0.0,12.0
2020,1,1.01,1.0,0.0
